Key,Comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa
NodeVideoEffects,エフェクト名,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects
Node,ノード,ノード,Node,节点,節點,노드,Nodo,العقد
NodeEditor,ノードエディタ,ノードエディタ,Node Editor,节点编辑器,節點編輯器,노드 편집기,Editor de nodos,محرر العقد
OpenEditor,ノードエディタを開くボタンの内容,ノードエディタを開く,Open Node Editor,打开节点编辑器,開啟節點編輯器,노드 편집기 열기,Abrir editor de nodos,افتح محرر العقد
Editor,エディタウィンドウの名前,エディタ,Editor,编辑器,編輯器,편집기,Editor,محرر
File,ファイル,ファイル,File,文件,檔案,파일,Archivo,ملف
Import,インポート...,インポート...,Import...,导入...,导入...,가져오기...,Importar...,استيراد...
Export,エクスポート...,エクスポート...,Export...,导出...,匯出...,내보내기...,Exportar...,تصدير...
Close,閉じる,閉じる,Close,关闭,關閉,닫기,Cerrar,إغلاق
Edit,編集,編集,Edit,编辑,編輯,편집,Editar,تحرير
Copy,コピー,コピー,Copy,复制,複製,복사,Copiar,نسخ
View,表示,表示,View,查看,檢視,보기,Ver,عرض
ResetView,表示をリセット,表示をリセット,Reset View,重置视图,重設檢視,보기 재설정,Restablecer vista,إعادة تعيين العرض
Help,ヘルプ,ヘルプ,Help,帮助,幫助,도움말,Ayuda,مساعدة
CheckUpdate,更新を確認...,更新を確認...,Check for updates...,检查更新...,检查更新...,업데이트 확인...,Buscar actualizaciones...,التحقق من التحديثات...
ShowAbout,概要...,概要...,About...,关于...,關於...,About...,Acerca de...,حول...
About,概要,概要,About,关于,關於,About,Acerca de,حول
AddNode,加算ノード,加算,Addition,加法,加法,덧셈,Suma,إضافة
DivNode,除算ノード,除算,division,除法,除法,나눗셈,división,قسم
MulNode,乗算ノード,乗算,multiplication,乘法,乘法,곱셈,multiplicación,الضرب
SubNode,減算ノード,減算,subtraction,减法,減法,뺄셈,resta,الطرح
PowNode,べき乗ノード,べき乗,Power,力量,力量,거듭제곱,Fuerza,قوة
RootNode,累乗根ノード,累乗根,Radical root,根,根,누승근,Raíz radical,الجذر الجذري
Input,入力,入力,Input,输入,輸入,입력,Aporte,مدخل
Output,出力,出力,Output,输出,輸出,출력,Producción,الناتج
FrameNode,フレームノード,フレーム,Frame,框架,框架,프레임,Marco,إطار
GaussianBlurNode,ガウシアンブラーノード,ガウシアンブラー,Gaussian Blur,高斯模糊,高斯模糊,가우시안 블러,Desenfoque gaussiano,التمويه الغاوسي
