Key,Comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa
AddNode,加算ノード,加算,Addition,加法,加法,덧셈,Suma,إضافة
DivNode,除算ノード,除算,division,除法,除法,나눗셈,división,قسم
MulNode,乗算ノード,乗算,multiplication,乘法,乘法,곱셈,multiplicación,الضرب
SubNode,減算ノード,減算,subtraction,减法,減法,뺄셈,resta,الطرح
PowNode,べき乗ノード,べき乗,Power,力量,力量,거듭제곱,Fuerza,قوة
RootNode,累乗根ノード,累乗根,Radical root,根,根,누승근,Raíz radical,الجذر الجذري
FrameNode,フレームノード,フレーム,Frame,框架,框架,프레임,Marco,إطار
GaussianBlurNode,ガウシアンブラーノード,ガウシアンブラー,Gaussian Blur,高斯模糊,高斯模糊,가우시안 블러,Desenfoque gaussiano,التمويه الغاوسي
LensBlurNode,レンズブラーノード,レンズブラー,Lens Blur,镜头模糊,鏡頭模糊,렌즈 블러,Niebla de lente,تمويه العدسة
MosaicNode,モザイクノード,モザイク,Mosaic,Mosaic,馬賽克,모자이크,Mosaico,فسيفساء
ChromakeyNode,クロマキーノード,クロマキー,Chromakey,色度键,色度鍵,크로마키,Chroma key,المفتاح اللوني
CreateMaskNode,マスク生成ノード,マスク生成,Create Mask,创建蒙版,創建遮罩,마스크 생성,Crear máscara,إنشاء قناع
ClipWithMaskNode,マスクでクリップノード,マスクでクリップ,Clip with Mask,使用蒙版裁剪,使用遮罩裁剪,마스크로 클립,Recortar con máscara,قص بالقناع
MaskToImageNode,マスクを画像に変換ノード,マスクを画像に変換,Mask to Image,蒙版转图,遮罩轉圖片,마스크를 이미지로 변환,De máscara a imagen,تحويل القناع إلى صورة
BlendNode,ブレンドノード,ブレンド,Blend,混合,混合,블렌드,Mezcla,دمج

CompositeCategory,合成,合成,Composite,合成,合成,합성,Composición,تركيب
BasicCategory,基本カテゴリー,基本,Basic,Básico,基本,기본,Categoría básica,الفئة الأساسية
EffectCategory,エフェクトカテゴリー,エフェクト,Effect,Efecto,效果,효과,Categoría de efecto,فئة التأثير
MathCategory,数学カテゴリー,数学,Math,Matemáticas,數學,수학,Categoría de matemáticas,فئة الرياضيات

Input,入力,入力,Input,输入,輸入,입력,Aporte,مدخل
Input1,入力1,入力1,Input1,输入1,輸入1,입력1,Entrada1,المدخل1
Input2,入力2,入力2,Input2,输入2,輸入2,입력2,Entrada2,المدخل2
Output,出力,出力,Output,输出,輸出,출력,Producción,الناتج
Value,値,値,Value,数值,數值,값,Valor,القيمة
Value1,値1,値1,Value1,数值1,數值1,값1,Valor1,القيمة1
Value2,値2,値2,Value2,数值2,數值2,값2,Valor2,القيمة2
Result,結果,結果,Result,结果,結果,결과,Resultado,النتيجة
Level,強度,強度,Level,强度,強度,강도,Nivel,المستوى
Mode,モード,モード,Mode,模式,模式,모드,Modo,وضع
Radius,半径,半径,Radius,半径,半徑,반지름,Radio,نصف القطر
EdgeStrength,輪郭強度,輪郭強度,Edge Strength,边缘强度,邊緣強度,엣지 강도,Fuerza del borde,قوة الحافة
Quality,品質,品質,Quality,质量,品質,품질,Calidad,جودة
