Key,Comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa
NodeVideoEffects,エフェクト名,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects
Node,ノード,ノード,Node,节点,節點,노드,Nodo,العقد
NodeEditor,ノードエディタ,ノードエディタ,Node Editor,节点编辑器,節點編輯器,노드 편집기,Editor de nodos,محرر العقد
OpenEditor,ノードエディタを開くボタンの内容,ノードエディタを開く,Open Node Editor,打开节点编辑器,開啟節點編輯器,노드 편집기 열기,Abrir editor de nodos,افتح محرر العقد
Editor,エディタウィンドウの名前,エディタ,Editor,编辑器,編輯器,편집기,Editor,محرر
File,ファイル,ファイル,File,文件,檔案,파일,Archivo,ملف
Import,インポート...,インポート...,Import...,导入...,导入...,가져오기...,Importar...,استيراد...
Export,エクスポート...,エクスポート...,Export...,导出...,匯出...,내보내기...,Exportar...,تصدير...
Close,閉じる,閉じる,Close,关闭,關閉,닫기,Cerrar,إغلاق
Edit,編集,編集,Edit,编辑,編輯,편집,Editar,تحرير
Copy,コピー,コピー,Copy,复制,複製,복사,Copiar,نسخ
View,表示,表示,View,查看,檢視,보기,Ver,عرض
ResetView,表示をリセット,表示をリセット,Reset View,重置视图,重設檢視,보기 재설정,Restablecer vista,إعادة تعيين العرض
OpenLog,ログを開く操作,ログを開く...,Open log...,打开日志...,打開日誌...,로그 열기...,Abrir registro...,فتح السجل...
DeleteAllLog,ログ全削除操作,すべてのログを削除...,Delete all log,删除所有日志,刪除所有日誌,모든 로그 삭제...,Eliminar todo el registro,حذف كل السجلات
Help,ヘルプ,ヘルプ,Help,帮助,幫助,도움말,Ayuda,مساعدة
CheckUpdate,更新を確認...,更新を確認...,Check for updates...,检查更新...,检查更新...,업데이트 확인...,Buscar actualizaciones...,التحقق من التحديثات...
ShowAbout,概要...,概要...,About...,关于...,關於...,About...,Acerca de...,حول...
About,概要,概要,About,关于,關於,About,Acerca de,حول

Ready,準備完了の状態表示,準備完了,Ready,就绪,就緒,준비 완료,Listo,جاهز
ReleaseMouseOnPortToConnect,ノード接続操作の説明,接続するにはポート上でマウスボタンを離してください,Release the mouse button on the port to connect,在端口上释放鼠标按钮以连接,在端口上釋放滑鼠按鈕以連接,포트에서 마우스 버튼을 놓아 연결하세요,Suelte el botón del ratón en el puerto para conectar,حرر زر الفأرة على المنفذ للاتصال
ErrorWhileNodesConnecting,ノード接続時に発生したエラーメッセージ,ノード接続中にエラーが発生しました,Error occurred while nodes connecting,连接节点时发生错误,連接節點時發生錯誤,노드 연결 중 오류가 발생했습니다,Ocurrió un error al conectar nodos,حدث خطأ أثناء توصيل العقد
ErrorWhileRemovingNodes,ノード削除時に発生したエラーメッセージ,ノード削除中にエラーが発生しました,Error occurred while removing nodes,删除节点时发生错误,刪除節點時發生錯誤,노드 삭제 중 오류가 발생했습니다,Ocurrió un error al eliminar nodos,حدث خطأ أثناء إزالة العقد
ErrorWhileBuildingNodes,ノード構築時に発生したエラーメッセージ,ノード構築中にエラーが発生しました,Error occurred while building nodes,构建节点时发生错误,構建節點時發生錯誤,노드 구성 중 오류가 발생했습니다,Ocurrió un error al construir nodos,حدث خطأ أثناء بناء العقد
ErrorWhileRebuildingNodes,ノード再構築時に発生したエラーメッセージ,ノード再構築中にエラーが発生しました,Error occurred while rebuilding nodes,重建节点时发生错误,重建節點時發生錯誤,노드 재구성 중 오류가 발생했습니다,Ocurrió un error al reconstruir nodos,حدث خطأ أثناء إعادة بناء العقد
ErrorWhileInitializingEditor,エディタ初期化時に発生したエラーメッセージ,エディタ初期化中にエラーが発生しました,Error occurred while initializing editor,初始化编辑器时发生错误,初始化編輯器時發生錯誤,편집기 초기화 중 오류가 발생했습니다,Ocurrió un error al inicializar el editor,حدث خطأ أثناء تهيئة المحرر
UnableLoadEffect,エフェクト読み込み失敗のエラーメッセージ,エフェクトを読み込めません,Unable load effect,无法加载效果,無法加載效果,효과를 로드할 수 없습니다,No se puede cargar el efecto,غير قادر على تحميل التأثير
UnableGenerateEffect,エフェクト生成失敗のエラーメッセージ,エフェクトを生成できません,Unable generate effect,无法生成效果,無法生成效果,효과를 생성할 수 없습니다,No se puede generar el efecto,غير قادر على إنشاء التأثير
PropertyNotFound,指定プロパティが存在しないエラー,指定されたプロパティ {0} が見つかりません,The specified property {0} was not found.,未找到指定属性 {0},未找到指定屬性 {0},지정된 속성 {0}을(를) 찾을 수 없습니다,No se encontró la propiedad {0},لم يتم العثور على الخاصية {0} المحددة
PropertyReadOnly,読み取り専用プロパティエラー,プロパティ {0} は読み取り専用です,The property {0} is read-only.,属性 {0} 是只读的,屬性 {0} 是只讀,속성 {0}은(는) 읽기 전용입니다,La propiedad {0} es de solo lectura,الخاصية {0} للقراءة فقط
UnableCreateAnimationInstance,アニメーション型インスタンス生成失敗,アニメーション型のインスタンスを作成できません,Unable to create an instance of Animation type.,无法创建动画类型的实例,無法建立動畫類型的實例,애니메이션 타입의 인스턴스를 생성할 수 없습니다,No se puede crear una instancia del tipo de animación,تعذر إنشاء نسخة من نوع Animation
AnimationValuesPropertyError,アニメーションの Values プロパティ関連エラー,Animation オブジェクトの Values プロパティが見つからないか読み取り専用です,The Values property of the Animation object was not found or is read-only.,未找到动画对象的 Values 属性或为只读,找不到 Animation 对象的 Values 屬性或為只讀,Animation 객체의 Values 속성을 찾을 수 없거나 읽기 전용입니다,La propiedad Values del objeto Animation no se encontró o es de solo lectura,خاصية Values لكائن Animation غير موجودة أو للقراءة فقط
ShaderResourceIdEmpty,シェーダリソース ID が空のエラー,シェーダリソース ID が空です,Shader resource id is empty.,着色器资源 ID 为空,著色器資源 ID 為空,셰이더 리소스 ID가 비어 있습니다,El ID del recurso del shader está vacío,معرّف مورد الشادر فارغ
ShaderResourceNotFound,シェーダリソース未検出エラー,シェーダリソース *.{0} が見つかりません,The shader resource *.{0} not found.,未找到着色器资源 *.{0},找不到著色器資源 *.{0},셰이더 리소스 *.{0}를 찾을 수 없습니다,No se encontró el recurso del shader *.{0},لم يتم العثور على مورد الشادر *.{0}
LoadingShader,シェーダ読み込み状態表示,シェーダ {0} を読み込んでいます,Loading shader {0}.,正在加载着色器 {0}.,正在加載著色器 {0}.,셰이더 {0} 로딩 중...,Cargando shader {0},جارٍ تحميل الشادر {0}
CannotCreateEffectInstance,エフェクトインスタンス生成失敗,エフェクトインスタンスを作成できません,Cannot create effect instance,无法创建效果实例,無法建立效果實例,효과 인스턴스를 생성할 수 없습니다,No se puede crear la instancia del efecto,تعذر إنشاء نسخة التأثير
CannotCastToShaderEffect,ShaderEffect 型変換失敗,ShaderEffect にキャストできません,Cannot cast to ShaderEffect,无法转换为 ShaderEffect,無法轉換為 ShaderEffect,ShaderEffect로 캐스팅할 수 없습니다,No se puede convertir a ShaderEffect,لا يمكن التحويل إلى ShaderEffect
IndexOutOfRange,インデックス範囲外エラー,指定されたインデックスが範囲外です,The specified index is out of range.,指定索引超出范围,指定索引超出範圍,지정된 인덱스가 범위를 벗어났습니다,El índice especificado está fuera de rango,الفهرس المحدد خارج النطاق
CannotCreateType,型生成失敗,型を作成できません,Cannot create the type,无法创建类型,無法建立類型,타입을 생성할 수 없습니다,No se puede crear el tipo,تعذر إنشاء النوع
OutputImageIsNull,出力画像が null の場合のエラーメッセージ,出力画像が null です,Output image is null.,输出图像为空,輸出影像為空,출력 이미지가 null입니다,La imagen de salida es nula,صورة الإخراج فارغة
ConnectionRestorationCompleted,接続復旧完了の状態表示,接続復旧が完了しました,Connection restoration completed.,连接恢复已完成,連接恢復已完成,연결 복원 완료,Restauración de conexión completada.,اكتمل استعادة الاتصال
NodeProcessorInitialized,ノードプロセッサ初期化完了の状態表示,ノードプロセッサの初期化が成功しました,NodeProcessor initialized successfully.,节点处理器初始化成功,節點處理器初始化成功,노드 프로세서 초기화 성공,Procesador de nodos inicializado correctamente,تم تهيئة NodeProcessor بنجاح
Connecting,ノード接続中の状態表示,接続中...,Connecting...,正在连接...,連線中...,연결 중...,Conectando...,جارٍ الاتصال...
RebuildingNodes,ノード再構築中の状態表示,ノード再構築中...,Rebuilding nodes...,正在重建节点...,正在重建節點...,노드 재구성 중...,Reconstruyendo nodos...,جارٍ إعادة بناء العقد...
Initializing,エディタ初期化中の状態表示,初期化中...,Initializing...,初始化中...,初始化中...,초기화 중...,Inicializando...,جارٍ التهيئة...
AllTasksCompleted,全てのタスク完了時の状態表示,すべてのタスクが完了しました,All tasks have completed,所有任务已完成,所有任務已完成,모든 작업이 완료되었습니다,Todas las tareas se han completado,اكتملت جميع المهام
RunningTasks,実行中タスクの状態表示,{0} 件のタスクを実行中,Running {0} task(s),正在运行 {0} 个任务,正在運行 {0} 個任務,{0} 개 작업 실행 중,Ejecución de {0} tarea(s),تشغيل {0} مهمة(مهام)
ItemPropertiesNotSet,アイテムプロパティが設定されていないエラーメッセージ,アイテムプロパティが設定されていません,Item Properties is not set.,未设置项目属性。,未設定項目屬性。,아이템 속성이 설정되지 않았습니다.,Las propiedades del elemento no están establecidas.,خصائص العنصر غير محددة.
DisposingNodeLogic,ノード破棄時のデバッグメッセージ,ノードロジックを破棄中: {0}(id: {1}),Disposing NodeLogic: {0}(id: {1}),正在释放节点逻辑: {0}(id: {1}),正在釋放節點邏輯: {0}(id: {1}),노드 로직 해제 중: {0}(id: {1}),Liberando NodeLogic: {0}(id: {1}),جارٍ التخلص من NodeLogic: {0}(id: {1})
NoCategory,カテゴリー未分類表示,（カテゴリなし）,(No Category),（无类别）,（無類別）,(카테고리 없음),(Sin categoría),(لا توجد فئة)
Accessory,アクセサリ,アクセサリ,Accessory,配件,配件,액세서리,Accesorio,ملحق
Extension,拡張,拡張,Extension,扩展,擴展,확장,Extensión,امتداد
FailedToGetLatestRelease,最新版の取得に失敗,最新版の取得に失敗,Failed to get the latest release,获取最新版本失败,取得最新版本失敗,최신 릴리스를 가져오지 못했습니다,Error al obtener la última versión,فشل في الحصول على أحدث إصدار
NewVersionAvailableInfo,新しいバージョンが利用可能（通知文1）,新しいバージョンが利用可能です。\n現在のバージョン: {0}\n最新バージョン: {1},A new version is available.\nCurrent version: {0}\nLatest version: {1},有新版本可用。\n当前版本: {0}\n最新版本: {1},有新版本可用。\n目前版本: {0}\n最新版本: {1},새 버전이 있습니다.\n현재 버전: {0}\n최신 버전: {1},Hay una nueva versión disponible.\nVersión actual: {0}\nÚltima versión: {1},يتوفر إصدار جديد.\nالإصدار الحالي: {0}\nالإصدار الأحدث: {1}
NewVersionAvailableConfirm,新しいバージョンが利用可能（更新確認）,新しいバージョンが利用可能です。更新しますか？\n{0} -> {1},A new version is available. Do you want to update?\n{0} -> {1},有新版本可用。是否要更新？\n{0} -> {1},有新版本可用。是否要更新？\n{0} -> {1},새 버전이 있습니다. 업데이트하시겠습니까?\n{0} -> {1},Hay una nueva versión disponible. ¿Desea actualizar?\n{0} -> {1},يتوفر إصدار جديد. هل تريد التحديث؟\n{0} -> {1}

