Key,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,
NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,NodeVideoEffects,
Node,ノード,Node,节点,節點,노드,Nodo,العقد,
NodeEditor,ノードエディタ,Node Editor,节点编辑器,節點編輯器,노드 편집기,Editor de nodos,محرر العقد
OpenEditor,ノードエディタを開く,Open Node Editor,打开节点编辑器,開啟節點編輯器,노드 편집기 열기,Abrir editor de nodos,افتح محرر العقد,
Editor,エディタ,Editor,编辑器,編輯器,편집기,Editor,محرر,
File,ファイル,File,文件,檔案,파일,Archivo,ملف,
Import,インポート...,Import...,导入...,导入...,가져오기...,Importar...,استيراد...,
Export,エクスポート...,Export...,导出...,匯出...,내보내기...,Exportar...,تصدير...,
Close,閉じる,Close,关闭,關閉,닫기,Cerrar,إغلاق,
Edit,編集,Edit,编辑,編輯,편집,Editar,تحرير,
Copy,コピー,Copy,复制,複製,복사,Copiar,نسخ,
View,表示,View,查看,檢視,보기,Ver,عرض,
ResetView,表示をリセット,Reset View,重置视图,重設檢視,보기 재설정,Restablecer vista,إعادة تعيين العرض,
Help,ヘルプ,Help,帮助,幫助,도움말,Ayuda,مساعدة,
OpenHelpSite,ヘルプサイトを開く...,Open Help Site...,打开帮助网站...,開啟說明網站...,도움말 사이트 열기...,Abrir sitio de ayuda...,فتح موقع المساعدة...,
CheckUpdate,更新を確認...,Check for updates...,检查更新...,检查更新...,업데이트 확인...,Buscar actualizaciones...,التحقق من التحديثات...,
ShowAbout,概要...,About...,关于...,關於...,About...,Acerca de...,حول...
About,概要,About,关于,關於,About,Acerca de,حول
